local_govt_area,city_or_state,number_households,net_worth_per_hh,income_per_taxpayer,assets_per_hh,liabilities_per_household,debt_to_asset_ratio,net_owner_occ_housing
Murilla (S),QLD Bal.,1125,390.6,36651,428.6,38.0,0.089,40.7
Nambucca (A),NSW Bal.,7708,390.3,35853,426.7,36.4,0.085,165.1
Jondaryan (S),QLD Bal.,4553,389.9,39527,454.9,65.0,0.143,118.5
Wellington (S),VIC Bal.,16173,388.6,40293,432.4,43.8,0.101,103.0
Clarence (C),Hobart,19512,387.8,41791,435.0,47.3,0.109,160.1
Mirani (S),QLD Bal.,1905,387.4,42481,441.3,53.8,0.122,67.4
Cooma-Monaro (A),NSW Bal.,4026,387.3,41725,434.7,47.3,0.109,106.8
Narrandera (A),NSW Bal.,2580,386.8,39532,426.7,39.9,0.094,67.1
Blayney (A),NSW Bal.,2550,386.6,41425,435.8,49.2,0.113,101.6
Dardanup (S),WA Bal.,3409,386.1,43711,465.8,79.8,0.171,115.4
Maitland (C),NSW Bal.,21662,385.6,45776,447.9,62.3,0.139,184.2
Kempsey (A),NSW Bal.,11332,385.3,36353,423.7,38.4,0.091,172.2
Stirling (C),Perth,78367,384.6,46135,449.4,64.7,0.144,162.5
Wagga Wagga (C),NSW Bal.,21234,383.7,43102,437.7,53.9,0.123,126.9
Monto (S),QLD Bal.,1093,382.7,33111,415.8,33.2,0.08,40.9
Warrnambool (C),VIC Bal.,11826,382.5,39521,425.7,43.2,0.101,155.5
Narrabri (A),NSW Bal.,5481,381.8,40765,421.5,39.7,0.094,84.5
Uralla (A),NSW Bal.,2371,381.2,38385,424.2,43.0,0.101,76.2
Boonah (S),QLD Bal.,3278,380.4,37237,426.8,46.4,0.109,121.8
Copper Coast (DC),SA Bal.,4817,379.6,39744,415.3,35.7,0.086,136.5
Tara (S),QLD Bal.,1655,379.3,36593,410.2,30.9,0.075,34.0
Cowra (A),NSW Bal.,5216,378.2,38094,412.8,34.6,0.084,108.1
Burnett (S),QLD Bal.,9849,378.1,38432,430.7,52.6,0.122,149.7
Bingara (A),NSW Bal.,939,376.9,35667,400.3,23.3,0.058,67.6
Charles Sturt (C),Adelaide,44314,376.7,42861,424.5,47.7,0.112,170.5
Barraba (A),NSW Bal.,983,376.4,34971,402.4,26.0,0.065,78.2
Cootamundra (A),NSW Bal.,3054,376.2,39740,410.8,34.6,0.084,94.6
South Sydney (C),Sydney,50426,376.1,57203,461.9,85.7,0.186,135.8
Lismore (C),NSW Bal.,16672,373.4,37438,423.8,50.4,0.119,147.3
